company,education,experience,name,position,salary,workPlace
今日头条,本科,3-5年,Python,北京 海淀区 知春路,30k-60k,
闪银奇异,本科,3-5年,Python测试开发,北京 朝阳区 团结湖,18k-30k,
国富如荷,本科,3-5年,python工程师,北京 朝阳区 太阳宫,20k-40k,
老虎集团,本科,1-3年,Python工程师,北京 朝阳区 太阳宫,25k-35k,
小豆云联,本科,1-3年,Python工程师,北京 朝阳区 朝外,20k-35k,
途游游戏,本科,3-5年,python服务器,北京 朝阳区 北苑,18k-36k,
志翔科技,本科,3-5年,Python工程师,北京 海淀区 学院路,15k-30k,
诸葛找房网,学历不限,3-5年,Python工程师,北京 朝阳区 潘家园,20k-40k,
米可世界,本科,3-5年,Python工程师,北京 朝阳区 三元桥,20k-40k,
北京雷石,本科,3-5年,python工程师,北京 朝阳区 北苑,15k-30k,
Veritas,本科,5-10年,Python开发,北京 海淀区 五道口,12k-24k,
客知音,本科,经验不限,python（ai）,北京 东城区 东直门,20k-40k,
裕木,本科,5-10年,Python 工程师,北京 朝阳区 三元桥,40k-60k,
南京明波新能源科...,本科,1年以内,Python,北京 东城区 安定门,5k-6k,
数据堂,本科,1-3年,Python工程师,北京 海淀区 中关村,10k-15k,
光环国际,本科,1-3年,python讲师,北京  ,20k-38k,
GeneDock,本科,5-10年,Python工程师,北京 海淀区 牡丹园,20k-30k,
绛门科技,本科,3-5年,Python开发,北京 朝阳区 酒仙桥,8k-16k,
险峰华兴,本科,3-5年,Python Leader,北京 朝阳区 北苑,18k-30k,
老虎集团,本科,3-5年,python工程师,北京 朝阳区 太阳宫,20k-40k,
LinkDoc,本科,3-5年,Python开发工程师,北京 海淀区 苏州街,23k-45k,
曼基朗,本科,3-5年,python开发工程师,北京 海淀区 北京大学,28k-40k,
今日头条,本科,1-3年,Python开发专家,北京  ,25k-50k,
粉笔公考,本科,1-3年,Python开发,北京  ,30k-60k,
传智播客,大专,3-5年,python人工智能讲师,北京 昌平区 西三旗,25k-40k,
芸品绿,本科,3-5年,python工程师,北京 朝阳区 酒仙桥,15k-30k,
小豆云联,本科,经验不限,Python工程师,北京 朝阳区 太阳宫,20k-40k,
海马轻帆,本科,1-3年,Python工程师,北京 朝阳区 望京,10k-15k,
网易乐得,本科,5-10年,Python开发工程师,北京 海淀区 马连洼,20k-40k,
Suning,本科,1-3年,python研发工程师,北京 朝阳区 朝外,12k-24k,
星钥科技,本科,3-5年,Python工程师,北京 海淀区 紫竹桥,8k-12k,
聚齐众兴网络,本科,5-10年,Python工程师,北京 大兴区 亦庄,15k-20k,
京东数字科技,硕士,1-3年,Python开发工程师,北京 大兴区 ,20k-35k,
京北方,本科,3-5年,Python开发工程师,北京 顺义区 马坡,10k-15k,
CRMFactory,学历不限,5-10年,Software Developer(Python and Java),北京 朝阳区 团结湖,15k-20k,
猿辅导,本科,应届生,python助教,北京 朝阳区 望京,4k-5k,
今日头条,本科,1-3年,python开发工程师,北京  ,20k-40k,
厨芯,本科,3-5年,python高级工程师,北京 朝阳区 望京,15k-25k,
亚信科技,本科,1-3年,python开发工程师,北京 海淀区 上地,10k-20k,
搜狐,本科,1-3年,Python开发工程师,北京 海淀区 中关村,20k-35k,
今日头条,本科,1-3年,python开发工程师,北京 海淀区 苏州街,20k-40k,
成都俊佳和,本科,3-5年,Python工程师,北京 朝阳区 太阳宫,25k-35k,
苏宁云商集团,本科,3-5年,Python研发工程师,北京 朝阳区 望京,13k-26k,
客知音,本科,1-3年,Python（语音智能）,北京 东城区 东直门,20k-40k,
星澜科技,本科,5-10年,Python,北京 朝阳区 望京,13k-20k,
深度好奇,本科,经验不限,Python工程师,北京 海淀区 五道口,12k-24k,
物美集团,本科,10年以上,Python开发工程师,北京 海淀区 八里庄,18k-28k,
KK点歌,本科,3-5年,Python工程师,北京 朝阳区 大山子,15k-28k,
中金标准数据,本科,1-3年,python工程师,北京 丰台区 花乡,8k-12k,
Pocoweb,本科,1-3年,Python工程师,北京 朝阳区 三元桥,8k-15k,
北京自造星球科技...,本科,3-5年,Python工程师,北京 朝阳区 工体,15k-20k,
君凯电子科技有限公司,大专,3-5年,Python开发,北京 朝阳区 望京,12k-18k,
网联,本科,3-5年,Python软件工程师,北京 西城区 南礼士路,20k-40k,
中电信用,本科,5-10年,Python工程师,北京 海淀区 北下关,15k-25k,
文思海辉,本科,1-3年,Python开发工程师,北京 顺义区 光明,9k-16k,
PACTERA,本科,1-3年,python分析工程师,北京 顺义区 马坡,8k-13k,
闲来游戏,本科,3-5年,Python开发工程师,北京 朝阳区 北苑,15k-30k,
旷视科技,本科,3-5年,python高级后端工程师,北京 海淀区 中关村,25k-50k,
海知智能,本科,经验不限,Python,北京 海淀区 世纪城,20k-40k,
诸葛找房网,大专,3-5年,Python架构师,北京 朝阳区 潘家园,30k-59k,
达观数据,本科,5-10年,Python高级工程师,北京 海淀区 知春路,18k-30k,
赤子城,本科,3-5年,Python开发,北京 朝阳区 三元桥,18k-28k,
智慧星光,本科,1-3年,Python,北京 海淀区 北京大学,10k-13k,
趣活科技,本科,3-5年,Python开发工程师,北京 朝阳区 高碑店,8k-15k,
东信北邮,本科,经验不限,Python研发工程师,北京 海淀区 知春路,5k-10k,
链人信息,本科,3-5年,python高级工程师,北京 海淀区 万柳,20k-40k,
搜狐,本科,5-10年,python爬虫开发,北京 海淀区 中关村,25k-40k,
汽车之家,本科,3-5年,Python开发工程师,北京 海淀区 中关村,15k-25k,
用友网络科技,本科,5-10年,Python研发工程师,北京 海淀区 西北旺,20k-40k,
北京天润融通,本科,5-10年,Python架构师,北京 海淀区 苏州街,30k-50k,
云智汇,本科,3-5年,Python 测试开发,北京 海淀区 中关村,10k-18k,
萌果科技,本科,3-5年,Python后端主程,北京 昌平区 回龙观,15k-25k,
百度,本科,5-10年,Python开发工程师,北京 海淀区 马连洼,20k-40k,
国双科技,本科,3-5年,Python研发工程师,北京 海淀区 万柳,15k-25k,
柏思睿特,本科,1-3年,Python工程师,北京 海淀区 紫竹桥,6k-12k,
快手,本科,3-5年,Python开发工程师,北京 海淀区 五道口,20k-40k,
闪银奇异,本科,1-3年,Python 算法工程师,北京 朝阳区 团结湖,18k-36k,
直真科技,本科,5-10年,python研发工程师,北京 朝阳区 望京,20k-25k,
微奇科技,大专,5-10年,Python高级开发,北京 东城区 北京站,15k-20k,
先进数通,本科,3-5年,Python开发工程师,北京 海淀区 紫竹桥,11k-16k,
雨辰视美,本科,3-5年,Python工程师,北京 海淀区 香山,12k-24k,
IMS,本科,3-5年,后端python高级工程师,北京 朝阳区 东大桥,25k-35k,
学科网,本科,5-10年,Python研发工程师,北京  ,20k-40k,
玩蟹科技,大专,1-3年,Python开发工程师,北京 海淀区 清河,10k-15k,
魔门塔科技,硕士,1-3年,Python研发工程师,北京 海淀区 五道口,27k-50k,
一点资讯,硕士,1-3年,视频抓取-Python工程师,北京 朝阳区 望京,20k-38k,
首都在线,本科,应届生,python实习生,北京 海淀区 四季青,2k-4k,
